"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,
,,,,,,,
,,,,,,,
year,sector,sub_sector,food_type,cause_group,cause_name,tons_surplus_due_to_cause,us_dollars_surplus_due_to_cause
2019,Foodservice,Caterers,Frozen,Trimmings & Byproducts,Trimmings & Byproducts,13.41828368,61911.97893
2019,Foodservice,Caterers,Prepared Foods,Excess,Catering Overproduction,197987.8323,2724691471
2019,Foodservice,Caterers,Prepared Foods,Excess,Overproduction,17456.4894,240234701.4
2019,Foodservice,Caterers,Prepared Foods,Excess,Plate Waste,68220.9502,938850832.4
2019,Foodservice,Caterers,Produce,Date Label Concerns,Date Label Concerns,589.8131235,2721398.545
2019,Foodservice,Caterers,Produce,Mistakes & Malfunctions,Cooking Issues,57.24598854,264133.0681
2019,Foodservice,Caterers,Produce,Mistakes & Malfunctions,Equipment Issues,1.16362268,5368.956612
2019,Foodservice,Caterers,Produce,Mistakes & Malfunctions,Handling Errors,47.32752532,218369.2655
2019,Foodservice,Caterers,Produce,Other,Other,28.29291435,130543.5449
2019,Foodservice,Caterers,Produce,Spoiled,Spoiled,313.8410271,1448062.921
2019,Foodservice,Caterers,Produce,Trimmings & Byproducts,Trimmings & Byproducts,1322.904155,6103881.55
2019,Foodservice,Caterers,Ready-to-drink Beverages,Date Label Concerns,Date Label Concerns,460.5729302,2125084.119
2019,Foodservice,Caterers,Ready-to-drink Beverages,Mistakes & Malfunctions,Handling Errors,64.83806806,299162.9332
2019,Foodservice,Caterers,Ready-to-drink Beverages,Other,Other,327.0584356,1509048.062
2019,Foodservice,Caterers,Ready-to-drink Beverages,Spoiled,Spoiled,684.0537273,3156224.818
2019,Foodservice,Caterers,Ready-to-drink Beverages,Trimmings & Byproducts,Trimmings & Byproducts,5.971083676,27550.58811
2019,Foodservice,Colleges & Universities,Breads & Bakery,Date Label Concerns,Date Label Concerns,1593.036691,7350273.437
2019,Foodservice,Colleges & Universities,Breads & Bakery,Mistakes & Malfunctions,Cooking Issues,372.0683399,1716723.821
2019,Foodservice,Colleges & Universities,Breads & Bakery,Mistakes & Malfunctions,Equipment Issues,22.26821244,102745.5622
2019,Foodservice,Colleges & Universities,Breads & Bakery,Mistakes & Malfunctions,Handling Errors,167.2051083,771484.5948
2019,Foodservice,Colleges & Universities,Breads & Bakery,Other,Other,12.82844332,59190.45473
2019,Foodservice,Colleges & Universities,Breads & Bakery,Spoiled,Spoiled,772.7336723,3565394.203
2019,Foodservice,Colleges & Universities,Breads & Bakery,Trimmings & Byproducts,Trimmings & Byproducts,978.3284974,4514009.003
2019,Foodservice,Colleges & Universities,Dairy & Eggs,Date Label Concerns,Date Label Concerns,2696.621709,12442216.19
2019,Foodservice,Colleges & Universities,Dairy & Eggs,Mistakes & Malfunctions,Cooking Issues,306.7468089,1415330.189
2019,Foodservice,Colleges & Universities,Dairy & Eggs,Mistakes & Malfunctions,Equipment Issues,318.2426881,1468372.191
2019,Foodservice,Colleges & Universities,Dairy & Eggs,Mistakes & Malfunctions,Handling Errors,183.2082909,845323.3006
2019,Foodservice,Colleges & Universities,Dairy & Eggs,Other,Other,10.98383134,50679.41256
2019,Foodservice,Colleges & Universities,Dairy & Eggs,Spoiled,Spoiled,1409.514296,6503500.858
2019,Foodservice,Colleges & Universities,Dairy & Eggs,Trimmings & Byproducts,Trimmings & Byproducts,929.3331007,4287944.177
2019,Foodservice,Colleges & Universities,Dry Goods,Date Label Concerns,Date Label Concerns,6767.681472,31226091.41
2019,Foodservice,Colleges & Universities,Dry Goods,Mistakes & Malfunctions,Cooking Issues,1941.489054,8958033.108
2019,Foodservice,Colleges & Universities,Dry Goods,Mistakes & Malfunctions,Equipment Issues,180.5804504,833198.4413
2019,Foodservice,Colleges & Universities,Dry Goods,Mistakes & Malfunctions,Handling Errors,649.9909493,2999059.114
2019,Foodservice,Colleges & Universities,Dry Goods,Other,Other,62.53449629,288534.25
2019,Foodservice,Colleges & Universities,Dry Goods,Spoiled,Spoiled,1463.216457,6751282.699
2019,Foodservice,Colleges & Universities,Dry Goods,Trimmings & Byproducts,Trimmings & Byproducts,1808.934957,8346428.325
2019,Foodservice,Colleges & Universities,Fresh Meat & Seafood,Date Label Concerns,Date Label Concerns,2701.096795,12462864.24
2019,Foodservice,Colleges & Universities,Fresh Meat & Seafood,Mistakes & Malfunctions,Cooking Issues,507.2734877,2340560.554
2019,Foodservice,Colleges & Universities,Fresh Meat & Seafood,Mistakes & Malfunctions,Equipment Issues,136.8225281,631299.3287
2019,Foodservice,Colleges & Universities,Fresh Meat & Seafood,Mistakes & Malfunctions,Handling Errors,316.3552317,1459663.464
2019,Foodservice,Colleges & Universities,Fresh Meat & Seafood,Other,Other,27.26507261,125801.0817
2019,Foodservice,Colleges & Universities,Fresh Meat & Seafood,Spoiled,Spoiled,1358.251875,6266975.979
2019,Foodservice,Colleges & Universities,Fresh Meat & Seafood,Trimmings & Byproducts,Trimmings & Byproducts,4964.613523,22906733.47
2019,Foodservice,Colleges & Universities,Frozen,Date Label Concerns,Date Label Concerns,41.33961517,190741.04
